M20C,B20C,M25C,B25C,M30C,B30C,M35C,B35C,M40C,B40C,M45C,B45C,M50C,B50C,M55C,B55C,M60C,B60C,M65C,B65C,M70C,B70C,M75C,B75C,M80C,B80C,M85C,B85C,M90C,B90C,M95C,B95C,M100C,B100C,M105C,B105C,M110C,B110C,M115C,B115C,M120C,B120C,M125C,B125C,M130C,B130C,M135C,B135C
-17.4391,-729.639,-16.805,-729.622,-16.069,-729.641,-15.2313,-729.638,-14.1678,-729.64,-13.3889,-729.622,-12.2986,-729.609,-10.9584,-729.624,-9.6539,-729.587,-7.90127,-729.933,-6.27532,-729.714,-5.69749,-729.679,-4.45134,-729.677,-3.45303,-729.654,-2.37518,-729.653,-2.0109,-729.635,-1.5668,-729.595,-1.22667,-729.596,-0.966372,-729.584,-0.794808,-729.565,-0.661492,-729.557,-0.536329,-729.596,-0.459959,-729.592,-0.391308,-729.578
-17.4497,-730.894,-16.8097,-730.879,-16.0731,-730.907,-15.239,-730.887,-14.1712,-730.896,-13.394,-730.879,-12.3022,-730.869,-10.9585,-730.878,-9.65988,-730.828,-7.90943,-731.184,-6.27962,-730.971,-5.69964,-730.932,-4.45486,-730.941,-3.4566,-730.903,-2.3772,-730.903,-2.01357,-730.891,-1.56169,-730.873,-1.22775,-730.853,-0.967016,-730.841,-0.795914,-730.825,-0.662672,-730.827,-0.537205,-730.839,-0.460662,-730.842,-0.392904,-730.83
-17.455,-732.133,-16.815,-732.111,-16.0782,-732.145,-15.2446,-732.127,-14.1773,-732.132,-13.4001,-732.101,-12.3075,-732.097,-10.9577,-732.113,-9.6638,-732.076,-7.91582,-732.428,-6.2841,-732.21,-5.70241,-732.168,-4.45872,-732.161,-3.45889,-732.141,-2.37772,-732.144,-2.01629,-732.126,-1.56435,-732.104,-1.23074,-732.093,-0.969013,-732.064,-0.796125,-732.068,-0.66324,-732.056,-0.538075,-732.072,-0.462655,-732.076,-0.395477,-732.07
-17.4693,-733.373,-16.8207,-733.36,-16.0836,-733.386,-15.2517,-733.376,-14.1806,-733.383,-13.4064,-733.357,-12.313,-733.348,-10.9613,-733.357,-9.66607,-733.313,-7.92252,-733.68,-6.28768,-733.456,-5.70524,-733.398,-4.46296,-733.411,-3.46068,-733.377,-2.37986,-733.396,-2.02095,-733.372,-1.56581,-733.351,-1.2305,-733.331,-0.970915,-733.326,-0.797841,-733.319,-0.66421,-733.3,-0.538373,-733.311,-0.462829,-733.325,-0.393689,-733.322
-17.483,-734.63,-16.8281,-734.611,-16.0953,-734.634,-15.2566,-734.607,-14.1854,-734.619,-13.4111,-734.612,-12.3202,-734.602,-10.9677,-734.611,-9.66866,-734.576,-7.92352,-734.928,-6.29126,-734.707,-5.71176,-734.656,-4.47017,-734.671,-3.46405,-734.634,-2.3873,-734.641,-2.02158,-734.621,-1.57151,-734.616,-1.23128,-734.594,-0.973132,-734.578,-0.79876,-734.55,-0.665854,-734.549,-0.539314,-734.573,-0.463523,-734.575,-0.394202,-734.574
-17.4936,-735.866,-16.8318,-735.86,-16.1132,-735.885,-15.2581,-735.868,-14.1885,-735.886,-13.4157,-735.865,-12.3226,-735.843,-10.971,-735.862,-9.67039,-735.83,-7.92405,-736.171,-6.29569,-735.956,-5.71424,-735.913,-4.47439,-735.911,-3.46869,-735.883,-2.38879,-735.902,-2.02437,-735.867,-1.58115,-735.856,-1.23516,-735.841,-0.974054,-735.82,-0.801152,-735.816,-0.667311,-735.803,-0.54125,-735.821,-0.464682,-735.834,-0.396093,-735.818
-17.4975,-737.104,-16.8377,-737.093,-16.1228,-737.107,-15.2638,-737.103,-14.1939,-737.115,-13.4179,-737.09,-12.3246,-737.088,-10.9761,-737.095,-9.67289,-737.075,-7.92623,-737.417,-6.30036,-737.191,-5.71774,-737.136,-4.47387,-737.144,-3.47176,-737.118,-2.39315,-737.113,-2.02727,-737.114,-1.57753,-737.08,-1.23626,-737.066,-0.975693,-737.058,-0.801963,-737.055,-0.668137,-737.031,-0.542231,-737.057,-0.465013,-737.069,-0.397162,-737.049
-17.5032,-738.36,-16.8428,-738.349,-16.1254,-738.375,-15.2704,-738.359,-14.1983,-738.362,-13.4213,-738.338,-12.3304,-738.336,-10.9885,-738.347,-9.67593,-738.319,-7.93365,-738.653,-6.30427,-738.437,-5.72073,-738.387,-4.47766,-738.391,-3.47584,-738.369,-2.39643,-738.348,-2.02922,-738.36,-1.57757,-738.335,-1.23899,-738.31,-0.977004,-738.304,-0.809071,-738.299,-0.669137,-738.281,-0.543834,-738.3,-0.466271,-738.306,-0.397044,-738.303
-17.5123,-739.602,-16.8488,-739.596,-16.1244,-739.632,-15.2712,-739.604,-14.2006,-739.608,-13.4259,-739.587,-12.3379,-739.58,-10.9928,-739.603,-9.67931,-739.563,-7.94006,-739.907,-6.30818,-739.689,-5.72505,-739.64,-4.48215,-739.654,-3.47894,-739.612,-2.399,-739.606,-2.03164,-739.59,-1.57869,-739.584,-1.24053,-739.563,-0.978119,-739.545,-0.802971,-739.549,-0.670999,-739.53,-0.544965,-739.554,-0.466816,-739.556,-0.397752,-739.538
-17.5185,-740.867,-16.8537,-740.846,-16.1299,-740.874,-15.2737,-740.866,-14.2072,-740.87,-13.4323,-740.839,-12.3387,-740.841,-10.9934,-740.85,-9.68302,-740.819,-7.94097,-741.162,-6.31272,-740.943,-5.7283,-740.898,-4.48542,-740.902,-3.4819,-740.867,-2.40318,-740.86,-2.03488,-740.863,-1.58115,-740.837,-1.24198,-740.824,-0.978037,-740.81,-0.804111,-740.798,-0.672452,-740.784,-0.54518,-740.801,-0.467132,-740.804,-0.397949,-740.803
