M20C,B20C,M25C,B25C,M30C,B30C,M35C,B35C,M40C,B40C,M45C,B45C,M50C,B50C,M55C,B55C,M60C,B60C,M65C,B65C,M70C,B70C,M75C,B75C
11.467,2436.67,11.3441,2436.64,10.1711,2436.59,8.87139,2436.58,7.74222,2436.55,6.6166,2436.56,5.64531,2436.53,4.7209,2436.53,3.87844,2436.51,3.08933,2436.97,2.72949,2436.82,2.40166,2436.64
11.4654,2435.42,11.341,2435.39,10.1692,2435.34,8.8698,2435.34,7.74008,2435.28,6.61429,2435.32,5.64305,2435.28,4.71888,2435.29,3.87752,2435.26,3.08847,2435.73,2.72863,2435.58,2.40076,2435.4
11.4639,2434.18,11.3403,2434.16,10.1689,2434.09,8.86911,2434.09,7.73787,2434.05,6.612,2434.08,5.64095,2434.03,4.71755,2434.04,3.87742,2434.01,3.08728,2434.48,2.72787,2434.33,2.39996,2434.16
11.4583,2432.9,11.3369,2432.88,10.169,2432.82,8.86722,2432.82,7.73595,2432.77,6.60975,2432.79,5.63913,2432.77,4.71611,2432.78,3.87589,2432.75,3.08562,2433.21,2.72667,2433.06,2.39935,2432.89
11.454,2431.67,11.3322,2431.66,10.1682,2431.59,8.86504,2431.6,7.73685,2431.54,6.60811,2431.58,5.63823,2431.54,4.71421,2431.55,3.87467,2431.52,3.08438,2431.97,2.72549,2431.83,2.39833,2431.65
11.4516,2430.43,11.3295,2430.41,10.1655,2430.34,8.86366,2430.35,7.73788,2430.29,6.60577,2430.33,5.63749,2430.3,4.71331,2430.3,3.87254,2430.27,3.08316,2430.75,2.72384,2430.58,2.3975,2430.41
11.4492,2429.19,11.3291,2429.16,10.1624,2429.1,8.86313,2429.1,7.73609,2429.04,6.60477,2429.08,5.63681,2429.05,4.71206,2429.05,3.87173,2429.03,3.08191,2429.5,2.72241,2429.34,2.39495,2429.16
11.4458,2427.92,11.3273,2427.9,10.1594,2427.85,8.8632,2427.84,7.7335,2427.79,6.60397,2427.82,5.63461,2427.79,4.70962,2427.79,3.87097,2427.77,3.08051,2428.23,2.72097,2428.08,2.39315,2427.9
11.446,2426.64,11.3244,2426.61,10.1622,2426.56,8.86302,2426.56,7.73175,2426.5,6.60211,2426.53,5.63258,2426.5,4.70847,2426.51,3.87018,2426.49,3.07996,2426.96,2.71981,2426.8,2.39249,2426.62
11.4468,2425.34,11.3193,2425.29,10.1633,2425.27,8.86177,2425.25,7.73115,2425.21,6.60034,2425.23,5.63025,2425.22,4.7064,2425.22,3.86975,2425.19,3.07764,2425.67,2.71904,2425.5,2.39188,2425.32
11.4452,2424.07,11.3158,2424.03,10.1606,2424.02,8.85945,2424,7.72922,2423.95,6.59858,2423.97,5.62749,2423.96,4.70483,2423.95,3.8673,2423.93,3.07504,2424.41,2.71769,2424.24,2.39122,2424.07
11.4421,2422.78,11.3132,2422.75,10.1587,2422.76,8.85673,2422.73,7.72775,2422.69,6.59763,2422.72,5.62657,2422.69,4.70301,2422.68,3.86421,2422.65,3.07335,2423.13,2.71659,2422.98,2.39022,2422.81
11.4388,2421.56,11.3111,2421.51,10.1584,2421.54,8.85442,2421.5,7.72489,2421.48,6.59677,2421.49,5.62556,2421.48,4.70173,2421.47,3.86418,2421.45,3.07251,2421.91,2.71527,2421.76,2.38876,2421.58
11.4378,2420.3,11.308,2420.3,10.1575,2420.31,8.85322,2420.26,7.72246,2420.25,6.59475,2420.25,5.62642,2420.24,4.70019,2420.24,3.86489,2420.21,3.07134,2420.68,2.71395,2420.52,2.38753,2420.34
11.435,2419.07,11.3071,2419.03,10.1563,2419.06,8.85286,2419.02,7.72009,2419.01,6.59358,2419.01,5.62604,2418.99,4.69908,2419,3.86387,2418.97,3.07041,2419.43,2.71302,2419.28,2.38671,2419.11
11.4326,2417.81,11.3045,2417.79,10.1538,2417.82,8.85135,2417.76,7.71686,2417.76,6.59255,2417.76,5.62474,2417.75,4.69766,2417.75,3.86217,2417.72,3.06829,2418.19,2.7118,2418.03,2.38519,2417.86
11.4296,2416.59,11.2981,2416.55,10.1519,2416.58,8.85031,2416.51,7.71543,2416.52,6.59114,2416.51,5.62265,2416.51,4.69539,2416.51,3.8607,2416.49,3.06672,2416.96,2.71055,2416.79,2.3828,2416.62
11.428,2415.33,11.2929,2415.32,10.1492,2415.34,8.84785,2415.28,7.71518,2415.28,6.5891,2415.29,5.6212,2415.28,4.69338,2415.27,3.85908,2415.25,3.06643,2415.71,2.70906,2415.55,2.38034,2415.39
